country,temperature_celsius_mean,temperature_celsius_min,temperature_celsius_max,humidity_mean,humidity_min,humidity_max,precipitation_mm_sum,precipitation_mm_mean,wind_mph_mean,wind_mph_max,air_quality_index_mean,air_quality_index_min,air_quality_index_max
Afghanistan,21.857086614173227,-3.3,36.3,24.230314960629922,4,100,0,0.0,6.102362204724409,25.1,0.0,0,0
Albania,23.018700787401574,6.2,39.2,49.63582677165354,14,100,0,0.0,5.874409448818898,17.4,0.0,0,0
Algeria,23.494280078895464,9.3,38.2,58.39250493096647,23,100,0,0.0,8.14516765285996,26.6,0.0,0,0
Andorra,12.479724409448819,-8.0,28.9,58.47244094488189,14,100,0,0.0,5.311811023622047,19.9,0.0,0,0
Angola,26.214173228346457,19.3,32.2,72.76968503937007,39,100,0,0.0,6.034842519685039,18.3,0.0,0,0
Antigua and Barbuda,26.8234126984127,21.0,31.4,78.5515873015873,54,94,0,0.0,14.906150793650793,32.9,0.0,0,0
Argentina,13.668577075098815,0.3,27.3,83.08300395256917,37,100,0,0.0,6.353359683794467,16.3,0.0,0,0
Armenia,20.93740157480315,-2.8,39.3,35.767716535433074,10,100,0,0.0,4.925984251968504,24.2,0.0,0,0
Australia,12.087007874015748,-3.7,28.2,72.82283464566929,21,100,0,0.0,6.78996062992126,23.0,0.0,0,0
Austria,15.94378698224852,-3.8,35.5,62.650887573964496,19,100,0,0.0,8.431952662721894,28.6,0.0,0,0
Azerbaijan,21.263313609467456,-0.9,37.2,56.90729783037475,16,94,0,0.0,14.589940828402368,38.7,0.0,0,0
Bahamas,25.487051792828684,13.2,32.0,80.56972111553785,49,100,0,0.0,12.774501992031873,32.2,0.0,0,0
Bahrain,32.166141732283464,15.1,45.3,45.66535433070866,7,83,0,0.0,12.163582677165355,30.0,0.0,0,0
Bangladesh,31.41561264822134,23.2,42.2,51.015810276679844,10,98,0,0.0,9.160079051383399,32.7,0.0,0,0
Barbados,27.372475247524754,22.1,33.0,80.30891089108911,59,100,0,0.0,14.86891089108911,50.3,0.0,0,0
Belarus,13.449015748031497,-8.8,32.4,67.51771653543307,27,100,0,0.0,10.695669291338582,27.1,0.0,0,0
Belgium,14.290854271356784,-1.0,32.2,73.5497487437186,35,100,0,0.0,10.385929648241206,31.1,0.0,0,0
Belize,22.927182539682537,16.1,32.0,95.82936507936508,73,100,0,0.0,2.8117063492063497,11.9,0.0,0,0
Benin,28.72406311637081,23.1,34.4,76.70808678500987,15,100,0,0.0,8.048323471400394,19.2,0.0,0,0
Bhutan,13.75818540433925,-0.1,23.8,68.38067061143984,16,99,0,0.0,4.792307692307692,8.7,0.0,0,0
Bolivia,17.071300893743793,-0.9,32.9,74.39026812313803,10,100,0,0.0,3.141509433962264,9.4,0.0,0,0
Bosnia and Herzegovina,16.56417322834646,-4.8,37.2,63.21456692913386,20,100,0,0.0,4.623622047244095,18.3,0.0,0,0
Botswana,23.816141732283466,6.4,38.4,41.20866141732284,4,100,0,0.0,8.16279527559055,20.1,0.0,0,0
Brazil,24.575992063492063,17.9,33.3,80.16666666666667,32,100,0,0.0,2.8349206349206346,7.2,0.0,0,0
Brunei Darussalam,29.08994082840237,24.0,34.3,78.47928994082841,44,100,0,0.0,5.511439842209073,13.2,0.0,0,0
Bulgaria,19.16532110091743,-5.6,40.9,49.955963302752295,10,100,0,0.0,6.68348623853211,25.9,0.0,0,0
Burkina Faso,29.492702169625247,21.0,41.5,54.404339250493095,8,100,0,0.0,10.272978303747534,19.2,0.0,0,0
Burundi,26.52952755905512,17.5,33.3,57.28740157480315,25,94,0,0.0,8.972047244094489,1841.2,0.0,0,0
Bélgica,17.4,17.4,17.4,63.0,63,63,0,0.0,13.6,13.6,0.0,0,0
Cambodia,31.350493096646943,24.7,39.1,67.90335305719921,26,100,0,0.0,8.33767258382643,24.4,0.0,0,0
Cameroon,25.392292490118578,17.3,33.3,60.808300395256914,8,100,0,0.0,5.0636363636363635,13.0,0.0,0,0
Canada,8.142574257425743,-21.8,29.2,84.95841584158416,37,100,0,0.0,6.662970297029704,24.8,0.0,0,0
Cape Verde,24.841141732283464,19.1,31.3,71.14173228346456,15,94,0,0.0,12.436023622047244,26.6,0.0,0,0
Central African Republic,29.419526627218936,21.1,37.9,63.562130177514796,11,100,0,0.0,4.148520710059172,12.5,0.0,0,0
Chad,31.33740157480315,22.0,45.0,44.232283464566926,5,100,0,0.0,10.396062992125984,22.4,0.0,0,0
Chile,9.702970297029703,-1.7,22.8,78.05148514851486,26,100,0,0.0,2.794851485148515,12.5,0.0,0,0
China,20.370611439842207,-6.0,38.3,46.116370808678504,4,100,0,0.0,6.477317554240631,42.9,0.0,0,0
Colombia,13.5,13.5,13.5,80.0,80,80,0,0.0,2.9,2.9,0.0,0,0
Comoros,26.228063241106717,22.1,30.3,73.3913043478261,52,97,0,0.0,11.051185770750987,21.7,0.0,0,0
Congo,27.449506903353058,20.1,37.5,68.86390532544378,20,100,0,0.0,4.5828402366863905,16.1,0.0,0,0
Costa Rica,19.63964143426295,10.9,27.0,85.12151394422311,35,100,0,0.0,4.321513944223108,18.6,0.0,0,0
Cote d'Ivoire,22.80212765957447,20.2,25.1,91.8936170212766,81,100,0,0.0,3.6148936170212767,6.0,0.0,0,0
Croatia,17.73399209486166,-2.0,38.8,62.88537549407115,19,100,0,0.0,4.920355731225296,19.2,0.0,0,0
Cuba,23.50674603174603,9.3,31.0,91.99404761904762,55,100,0,0.0,9.026984126984127,30.4,0.0,0,0
Cyprus,27.285996055226825,7.1,41.1,43.7258382642998,10,88,0,0.0,8.074161735700198,26.8,0.0,0,0
Czech Republic,14.074653465346534,-6.9,32.4,66.31287128712871,22,100,0,0.0,7.88039603960396,25.5,0.0,0,0
Democratic Republic of Congo,27.37049504950495,20.1,37.8,69.15247524752475,21,100,0,0.0,4.555643564356435,16.1,0.0,0,0
Denmark,13.31854043392505,-5.0,27.2,73.55818540433926,33,100,0,0.0,12.056607495069033,35.8,0.0,0,0
Djibouti,33.0501976284585,25.1,47.1,52.50592885375494,19,80,0,0.0,10.353359683794467,28.6,0.0,0,0
Dominica,26.929504950495048,20.2,35.3,78.41188118811881,41,100,0,0.0,10.119207920792078,25.5,0.0,0,0
Dominican Republic,24.37202380952381,18.3,32.0,94.04166666666667,62,100,0,0.0,5.839880952380953,16.1,0.0,0,0
Ecuador,10.352683896620277,6.7,18.9,80.90854870775348,42,97,0,0.0,3.157256461232605,12.5,0.0,0,0
Egypt,28.050493096646942,13.0,42.4,39.005917159763314,8,78,0,0.0,9.368441814595661,26.6,0.0,0,0
El Salvador,23.5695219123506,16.7,30.0,90.00796812749005,45,100,0,0.0,2.951394422310757,26.6,0.0,0,0
Equatorial Guinea,27.532086614173227,23.1,33.4,83.74212598425197,63,100,0,0.0,5.16279527559055,16.1,0.0,0,0
Eritrea,21.94055118110236,14.2,28.0,43.29724409448819,11,89,0,0.0,7.258070866141732,20.6,0.0,0,0
Estonia,12.185798816568047,-6.9,32.3,69.91124260355029,24,100,0,0.0,11.204536489151874,32.2,0.0,0,0
Estonie,23.3,23.3,23.3,61.0,61,61,0,0.0,10.5,10.5,0.0,0,0
Ethiopia,20.456719367588935,13.2,29.4,52.58498023715415,13,100,0,0.0,7.0254940711462455,169.1,0.0,0,0
Fiji Islands,24.04311023622047,17.3,28.2,90.75393700787401,61,100,0,0.0,7.257086614173228,106.9,0.0,0,0
Finland,12.069291338582676,-9.9,29.1,70.64763779527559,19,100,0,0.0,10.753937007874017,27.1,0.0,0,0
France,15.395069033530572,-0.8,36.8,71.65680473372781,25,100,0,0.0,7.826035502958581,19.9,0.0,0,0
Gabon,27.26173570019724,22.9,31.3,81.0,61,100,0,0.0,6.27120315581854,13.0,0.0,0,0
Gambia,26.04209486166008,19.1,36.4,69.90316205533597,17,100,0,0.0,9.707114624505929,32.4,0.0,0,0
Georgia,20.253754940711463,-1.7,37.4,50.616600790513836,16,100,0,0.0,7.188735177865612,32.2,0.0,0,0
Germany,15.061614173228346,-3.0,33.3,65.37992125984252,23,100,0,0.0,9.160629921259844,24.2,0.0,0,0
Ghana,27.756889763779526,23.0,33.2,78.65748031496064,29,100,0,0.0,9.111220472440944,23.0,0.0,0,0
Greece,24.810119047619047,6.3,39.3,43.01984126984127,11,94,0,0.0,9.98690476190476,29.1,0.0,0,0
Grenada,27.37420634920635,23.1,32.0,82.55357142857143,66,100,0,0.0,12.689087301587302,23.5,0.0,0,0
Guatemala,17.454581673306773,11.5,25.0,91.25298804780877,61,100,0,0.0,3.908565737051793,20.6,0.0,0,0
Guinea,26.515779092702168,23.1,33.0,82.90138067061145,41,100,0,0.0,7.002958579881657,24.6,0.0,0,0
